year,county,patient_count
2022,Suffolk County,135
2022,Bronx,70
2022,Queens,66
2022,Brooklyn,60
2022,Manhattan,55
2022,Nassau County,17
2022,Staten Island,11
2022,Out of Metro Area,13
2023,Suffolk County,162
2023,Brooklyn,94
2023,Bronx,92
2023,Queens,90
2023,Manhattan,50
2023,Nassau County,29
2023,Staten Island,9
2023,Out of Metro Area,3
2024,Suffolk County,140
2024,Kings County (Brooklyn),131
2024,Queens County,106
2024,New York County (Manhattan),75
2024,Westchester County,49
2024,Nassau County,45
2024,Orange County,26
2024,Other,26
2024,Richmond County (Staten Island),17
2024,Monroe County,22
2024,Erie County,20
2024,Bronx County,12
2024,Not a NY State Resident,12
2024,Dutchess County,11
2024,Onondaga County,10
2024,Rockland County,9
2024,Ulster County,9
2024,Albany County,8
2024,Oneida County,7
2024,Broome County,7
2024,Madison County,6
2024,Saratoga County,6
2024,Jefferson County,5
2024,Schenectady County,5
2024,Cattaraugus County,4
2024,Fulton County,4
2024,Ontario County,4
2024,Sullivan County,4
2024,Livingston County,3
2024,Columbia County,2
2024,Putnam County,2
2024,Rensselaer County,2
2024,Wayne County,2
2024,Clinton County,1
2024,Essex County,1
